Sample	Dataset	biome_0	biome_1	biome_2	biome_3	biome_4	family
ERS2464055	MGYS00002388	root	Host-associated	Mammalia	Digestive system	Large intestine	Muridae
ERS2464028	MGYS00002388	root	Host-associated	Mammalia	Digestive system	Large intestine	Muridae
ERS2464054	MGYS00002388	root	Host-associated	Mammalia	Digestive system	Large intestine	Muridae
ERS2867121	MGYS00003472	root	Host-associated	Aves	Digestive system	Fecal	Anatidae
ERS2867115	MGYS00003472	root	Host-associated	Aves	Digestive system	Fecal	Anatidae
ERS2867118	MGYS00003472	root	Host-associated	Aves	Digestive system	Fecal	Anatidae
ERS2867128	MGYS00003472	root	Host-associated	Aves	Digestive system	Fecal	Anatidae
ERS2867130	MGYS00003472	root	Host-associated	Aves	Digestive system	Fecal	Anatidae
ERS2867116	MGYS00003472	root	Host-associated	Aves	Digestive system	Fecal	Anatidae
ERS2867122	MGYS00003472	root	Host-associated	Aves	Digestive system	Fecal	Anatidae
ERS2867119	MGYS00003472	root	Host-associated	Aves	Digestive system	Fecal	Anatidae
ERS2867127	MGYS00003472	root	Host-associated	Aves	Digestive system	Fecal	Anatidae
ERS2867120	MGYS00003472	root	Host-associated	Aves	Digestive system	Fecal	Anatidae
ERS2867137	MGYS00003472	root	Host-associated	Aves	Digestive system	Fecal	Anatidae
ERS2867124	MGYS00003472	root	Host-associated	Aves	Digestive system	Fecal	Anatidae
ERS2085102	MGYS00003488	root	Host-associated	Aves	Digestive system	Fecal	Phasianidae
ERS2085248	MGYS00003488	root	Host-associated	Aves	Digestive system	Fecal	Phasianidae
ERS2085180	MGYS00003488	root	Host-associated	Aves	Digestive system	Fecal	Phasianidae
ERS2085273	MGYS00003488	root	Host-associated	Aves	Digestive system	Fecal	Phasianidae
ERS2085352	MGYS00003488	root	Host-associated	Aves	Digestive system	Fecal	Phasianidae
ERS2085138	MGYS00003488	root	Host-associated	Aves	Digestive system	Fecal	Phasianidae
ERS2085366	MGYS00003488	root	Host-associated	Aves	Digestive system	Fecal	Phasianidae
ERS2085337	MGYS00003488	root	Host-associated	Aves	Digestive system	Fecal	Phasianidae
ERS2085182	MGYS00003488	root	Host-associated	Aves	Digestive system	Fecal	Phasianidae
ERS2085187	MGYS00003488	root	Host-associated	Aves	Digestive system	Fecal	Phasianidae
ERS2085269	MGYS00003488	root	Host-associated	Aves	Digestive system	Fecal	Phasianidae
ERS2085201	MGYS00003488	root	Host-associated	Aves	Digestive system	Fecal	Phasianidae
ERS2085192	MGYS00003488	root	Host-associated	Aves	Digestive system	Fecal	Phasianidae
